Method	Launch Config	Row Per TB	Elapsed Time(ms)	Bandwidth Utilization(%)	SM Throughout(%)
non-vectorized	[3000, 128]	20	0.4517	83.2017	18.6533
vectorized	[3000, 128]	20	0.4532	82.8747	13.9420
non-vectorized	[6000, 128]	10	0.4506	83.4147	18.7533
vectorized	[6000, 128]	10	0.4514	83.2753	14.0727
non-vectorized	[15000, 128]	4	0.4502	83.5147	18.9647
vectorized	[15000, 128]	4	0.4503	83.4233	14.2827
non-vectorized	[30000, 128]	2	0.4490	83.6740	19.3047
vectorized	[30000, 128]	2	0.4497	83.5727	14.6113
non-vectorized	[60000, 128]	1	0.4679	80.2860	18.5200
vectorized	[60000, 128]	1	0.4684	80.1880	14.0120
non-vectorized	[3000, 256]	20	0.4517	83.3420	18.7260
vectorized	[3000, 256]	20	0.4551	82.8227	13.9813
non-vectorized	[6000, 256]	10	0.4509	83.5093	18.8893
vectorized	[6000, 256]	10	0.4516	83.3760	14.1973
non-vectorized	[15000, 256]	4	0.4505	83.6413	19.2847
vectorized	[15000, 256]	4	0.4503	83.5413	15.3233
non-vectorized	[30000, 256]	2	0.4498	83.6593	19.8787
vectorized	[30000, 256]	2	0.4505	83.5273	17.9520
non-vectorized	[60000, 256]	1	0.4752	79.2040	18.8107
vectorized	[60000, 256]	1	0.4756	79.0433	17.9493
non-vectorized	[3000, 512]	20	0.4597	81.8907	27.6507
vectorized	[3000, 512]	20	0.4528	83.2827	17.6173
non-vectorized	[6000, 512]	10	0.4561	82.5093	28.1087
vectorized	[6000, 512]	10	0.4514	83.4473	18.7093
non-vectorized	[15000, 512]	4	0.4549	82.5687	28.8307
vectorized	[15000, 512]	4	0.4508	83.4713	21.8720
non-vectorized	[30000, 512]	2	0.4540	82.6133	30.0153
vectorized	[30000, 512]	2	0.4510	83.4013	27.1133
non-vectorized	[60000, 512]	1	0.5053	74.1707	26.9253
vectorized	[60000, 512]	1	0.5023	74.8047	26.1293
non-vectorized	[3000, 1024]	20	0.4788	78.4993	26.5033
vectorized	[3000, 1024]	20	0.4639	81.0193	21.8240
non-vectorized	[6000, 1024]	10	0.4775	78.6287	26.7833
vectorized	[6000, 1024]	10	0.4619	81.2967	23.9547
non-vectorized	[15000, 1024]	4	0.5008	74.8527	29.0087
vectorized	[15000, 1024]	4	0.4879	76.7827	28.4140
non-vectorized	[30000, 1024]	2	0.5683	65.8773	31.2613
vectorized	[30000, 1024]	2	0.5808	64.4147	31.9000
non-vectorized	[60000, 1024]	1	0.6813	54.9253	28.7200
vectorized	[60000, 1024]	1	0.6939	53.9047	29.2987
