Launch Config	Row Per TB	Elapsed Time(ms)	Bandwidth Utilization(%)	SM Throughout(%)
[3000, 128]	20	3.6373	82.8382	13.7118
[6000, 128]	10	3.6255	83.1264	13.7673
[15000, 128]	4	3.6000	83.7573	13.8927
[30000, 128]	2	3.6000	83.7955	13.9336
[60000, 128]	1	3.5909	83.8236	14.0109
[3000, 256]	20	3.7327	80.6718	13.3709
[6000, 256]	10	3.6991	81.4973	13.5200
[15000, 256]	4	3.6173	83.3682	13.8718
[30000, 256]	2	3.6209	83.2882	13.9327
[60000, 256]	1	3.6036	83.6645	14.1382
[3000, 512]	20	3.6509	82.6082	13.7018
[6000, 512]	10	3.6200	83.2755	13.8400
[15000, 512]	4	3.6000	83.7791	14.0073
[30000, 512]	2	3.5991	83.8045	14.1555
[60000, 512]	1	3.5909	83.8555	14.4573
[3000, 1024]	20	3.6027	83.6636	13.8945
[6000, 1024]	10	3.6000	83.7873	13.9718
[15000, 1024]	4	3.5991	83.8427	14.1582
[30000, 1024]	2	3.5909	83.8345	15.1700
[60000, 1024]	1	3.5909	83.8209	17.7645
