Grid Size	Block Size	Row Per TB	Elapsed Time(ms)	Bandwidth Utilization(%)	SM Throughout(%)
3000	128	10	2.4700	83.8527	18.6218
6000	128	5	1.3500	83.8173	18.7436
15000	128	2	0.6737	83.7309	19.0200
30000	128	1	0.4493	83.6336	19.2991
3000	256	10	2.4700	83.8600	18.7209
6000	256	5	1.3500	83.8100	18.9309
15000	256	2	0.6751	83.7264	19.3982
30000	256	1	0.4503	83.6327	19.8691
3000	512	10	2.4900	83.1764	27.9564
6000	512	5	1.3600	83.2427	28.3936
15000	512	2	0.6798	82.9936	29.2227
30000	512	1	0.4540	82.6073	30.0045
3000	1024	10	2.6200	79.0609	26.5673
6000	1024	5	1.4518	77.6564	27.5591
15000	1024	2	0.7817	72.0627	29.8682
30000	1024	1	0.5689	65.8573	31.2464
